"AGLO_ID","AGLOMERADO","NOMAGLO"
"u'0000'",0,"Fuera de aglom."
"u'0005'",2,"La Plata"
"u'0014'",3,"Bahia Blanca"
"u'0003'",4,"Rosario"
"u'0008'",5,"Santa Fe"
"u'0016'",6,"Parana"
"u'0017'",7,"Posadas"
"u'0011'",8,"Resistencia"
"u'0022'",9,"Cdro Rivadavia"
"u'0004'",10,"Mendoza"
"u'0013'",12,"Corrientes"
"u'0002'",13,"Cordoba"
"u'0023'",14,"Concordia"
"u'0019'",15,"Formosa"
"u'0015'",17,"Neuquen"
"u'0012'",18,"Sgo del Estero"
"u'0018'",19,"Jujuy"
"u'0044'",20,"Rio Gallegos"
"u'0021'",22,"Catamarca"
"u'0009'",23,"Salta"
"u'0026'",25,"La Rioja"
"u'0025'",26,"San Luis"
"u'0010'",27,"San Juan"
"u'0006'",29,"Tucuman"
"u'0029'",30,"Santa Rosa"
"u'0086'",31,"Ushuaia-Rio Grande"
"u'0001'",32,"CABA"
"u'1000'",33,"GBA"
"u'0007'",34,"Mar del Plata"
"u'0020'",36,"Rio Cuarto"
"u'0024'",38,"San Nicolas"
"u'0135'",91,"Rawson-Trelew"
"u'0050'",93,"Viedma-Patagones"
"u'0099'",99,"Total"
