NOMAGLO,Poblacion,P47T promedio,25%,50%,75%
Bahia Blanca,293700,1640,0,1020,2450
CABA,2867900,2430,0,1800,3530
Catamarca,175600,1140,0,530,1860
Cdro Rivadavia,160000,2370,0,1020,3910
Concordia,150500,1150,0,510,1840
Cordoba,1447500,1540,0,920,2350
Corrientes,340000,1050,0,410,1640
Formosa,220400,980,0,310,1640
Fuera de aglom.,14760600,1140,0,440,1760
GBA,10671200,1410,0,770,2190
Jujuy,310400,1080,0,390,1650
La Plata,789400,1700,0,1000,2560
La Rioja,174900,1120,0,510,1840
Mar del Plata,605600,1530,0,980,2350
Mendoza,929600,1350,0,710,2080
Neuquen,346300,2000,0,980,3070
Parana,273200,1450,0,830,2250
Posadas,295000,1050,0,440,1640
Rawson-Trelew,117700,2010,0,1170,3070
Resistencia,382600,1020,0,390,1530
Rio Cuarto,149900,1560,0,970,2350
Rio Gallegos,106900,2290,0,720,3830
Rosario,1186300,1540,0,940,2350
Salta,553000,1090,0,390,1660
San Juan,402900,1150,0,470,1830
San Luis,183900,1170,0,510,1880
San Nicolas,178900,1380,0,720,2190
Santa Fe,477600,1450,0,730,2190
Santa Rosa,112300,1690,0,1010,2730
Sgo del Estero,360500,1000,0,350,1530
Tucuman,811300,1120,0,440,1740
Ushuaia-Rio Grande,102400,2840,0,1950,4700
Viedma-Patagones,67400,2000,0,1030,2930
