Actividad,Menor de 14,Menor de 14,Menor de 14,Ocupado,Ocupado,Desocupado,Inactivo,Inactivo,Inactivo,Inactivo
Categoria,N.A.,Estudiante,Menor de 6,Cuenta Propia,Empleado,Empleado,Jub / Pens,Estudiante,Ama de casa,Otros
NOMAGLO,,,,,,,,,,
Bahia Blanca,1500,36900,23800,7175,134825,9700,33000,25100,17700,1700
CABA,17000,245800,197800,73875,1562375,82200,361700,171100,121100,14700
Catamarca,0,26200,17700,4025,80150,6625,12300,15400,10200,1700
Cdro Rivadavia,0,19700,19200,2200,75225,5050,11000,11200,13700,1700
Concordia,0,23700,19800,3550,62675,3425,13800,10300,10700,1700
Cordoba,5000,174900,132800,31025,679475,53350,142000,114600,91000,11500
Corrientes,500,49200,33200,8100,146250,12325,24700,31100,25800,5800
Formosa,100,34100,21600,3975,90550,6175,14700,24800,19600,3600
Fuera de aglom.,93300,2218900,1562100,441450,5708025,360150,1514100,1142000,1363100,225600
GBA,45800,1400000,1090300,246250,4938225,364200,929300,705000,781700,83400
Jujuy,0,44700,34200,6275,134225,10025,21900,32900,20400,3300
La Plata,9900,90100,73500,18375,378225,26150,79700,65000,36000,5000
La Rioja,2400,21500,21600,1400,80675,7350,8800,18300,10500,1600
Mar del Plata,1800,74900,50000,19625,272525,23550,78500,39300,36000,4300
Mendoza,7600,110000,92600,20625,408975,40225,95500,74200,65100,7600
Neuquen,1100,45300,38600,6300,162550,13725,22400,29300,20700,2500
Parana,300,36400,26200,6625,129675,8600,25400,19600,16800,1900
Posadas,300,46500,29400,5875,125450,8700,24000,24800,23200,3900
Rawson-Trelew,0,14000,11600,2175,57150,4025,10300,9000,7800,1100
Resistencia,800,57800,34900,9625,163275,13300,28300,37700,30000,4600
Rio Cuarto,0,16000,14100,4175,68825,3850,18100,13200,8800,1400
Rio Gallegos,0,18400,12100,1600,47625,3675,6400,9800,6000,700
Rosario,8400,125100,100900,33975,559475,44000,128800,79800,83200,13300
Salta,3700,86100,59700,11450,234000,18350,41700,50800,38100,5400
San Juan,3700,53800,42400,8600,167475,13525,37200,32900,34900,4600
San Luis,900,26700,18600,4275,76525,6325,15200,19600,11600,2300
San Nicolas,0,23900,18000,3500,76550,6675,20100,12500,14900,1900
Santa Fe,3200,60200,47900,11975,210200,18600,47000,36300,31200,5600
Santa Rosa,0,15600,11800,3650,51350,4050,10500,8500,5500,400
Sgo del Estero,100,54700,36200,6975,151525,11700,28900,34200,27400,4900
Tucuman,4400,115900,81100,14750,335900,33350,76400,68600,64200,10100
Ushuaia-Rio Grande,300,14700,10700,975,53850,4250,4100,8000,4400,500
Viedma-Patagones,200,9900,5600,900,32050,1575,6800,4600,4300,800
